Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Placar do Jogo,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra,Minutos
Trae Young,2024-10-27T00:00:00,OKC,L,Away,0.7223560819617135,-1.4075693053003109,0.3586866256938522,OFFLINE,0.6179162793949569,0.3172863578456277,37:03,0.7660698239928555
Trae Young,2024-10-25T00:00:00,CHA,W,Home,2.2422266821586136,0.21586297330968018,0.7393336570424298,OFFLINE,2.2620794789546372,2.060126915025836,41:29,1.3496167116850082
Trae Young,2024-10-23T00:00:00,BKN,W,Home,1.3737291963318137,-0.4798937175231731,1.1199806883910075,OFFLINE,0.3830358223150025,0.3172863578456277,36:40,0.7156127622751131
Jalen Johnson,2025-01-23T00:00:00,TOR,L,Home,-1.557449818333637,-1.4075693053003109,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,10:47,-2.6913357963185423
Jalen Johnson,2025-01-22T00:00:00,DET,L,Home,-0.037579218136736606,0.44778187025396465,-0.40260743700330326,OFFLINE,0.3830358223150025,-0.8446073469411779,37:32,0.8296895974630526
Jalen Johnson,2025-01-20T00:00:00,NYK,L,Away,-0.6889523325068367,1.1435385610868178,-0.40260743700330326,OFFLINE,-1.0262469201647233,-0.8446073469411779,34:55,0.4852653066071582
Jalen Johnson,2025-01-18T00:00:00,BOS,W,Away,-0.36326577532178667,1.3754574580311023,-0.5929309526775921,OFFLINE,-0.5564860060048147,-0.8446073469411779,37:41,0.8494336650917343
Jalen Johnson,2025-01-03T00:00:00,LAL,L,Away,0.17954515331996343,0.21586297330968018,-0.9735779840261698,OFFLINE,-0.32160554892486043,-0.26366049454777507,32:59,0.2307862127263705
Jalen Johnson,2024-12-29T00:00:00,TOR,W,Away,-0.25470358959343664,-0.7118126144674576,-0.5929309526775921,OFFLINE,0.14815536523504821,-0.26366049454777507,33:04,0.24175513918674962
Jalen Johnson,2024-12-28T00:00:00,MIA,W,Home,1.1566048248751135,1.3754574580311023,-0.2122839213290144,OFFLINE,-0.32160554892486043,0.3172863578456277,35:19,0.5379161536169772
Jalen Johnson,2024-12-26T00:00:00,CHI,W,Home,1.3737291963318137,1.8392952519196712,-0.40260743700330326,OFFLINE,-0.5564860060048147,-0.8446073469411779,39:03,1.0293240590419468
Jalen Johnson,2024-12-23T00:00:00,MIN,W,Home,-0.037579218136736606,0.9116196641425335,0.1683631100195633,OFFLINE,-0.32160554892486043,-0.8446073469411779,35:00,0.49623423306753733
Jalen Johnson,2024-12-21T00:00:00,MEM,L,Home,-0.4718279610501367,0.9116196641425335,0.3586866256938522,OFFLINE,-0.32160554892486043,-0.26366049454777507,33:01,0.23517378331052177
Jalen Johnson,2024-12-19T00:00:00,SAS,L,Away,0.5052317105050135,0.44778187025396465,-0.5929309526775921,OFFLINE,-0.791366463084769,-0.26366049454777507,38:44,0.9876421384925077
Jalen Johnson,2024-12-14T00:00:00,MIL,L,Away,-0.25470358959343664,0.679700767198249,-0.40260743700330326,OFFLINE,-0.08672509184490611,-0.8446073469411779,39:07,1.0380992002102503
Jalen Johnson,2024-12-11T00:00:00,NYK,W,Away,0.39666952477666345,1.8392952519196712,0.1683631100195633,OFFLINE,0.14815536523504821,-0.26366049454777507,41:11,1.310128576427644
Jalen Johnson,2024-12-06T00:00:00,LAL,W,Home,-0.5803901467784867,0.679700767198249,0.1683631100195633,OFFLINE,-0.08672509184490611,-0.26366049454777507,34:40,0.4523585272260218
Jalen Johnson,2024-12-04T00:00:00,MIL,W,Away,0.6137938962333636,1.3754574580311023,-0.2122839213290144,OFFLINE,-0.5564860060048147,-0.8446073469411779,40:11,1.1785014589030982
Jalen Johnson,2024-12-02T00:00:00,NOP,W,Home,0.17954515331996343,-0.01605592363460425,-0.2122839213290144,OFFLINE,-0.08672509184490611,-0.26366049454777507,31:41,0.059670959944461116
Jalen Johnson,2024-11-30T00:00:00,CHA,W,Away,0.2881073390483134,-0.943731511411742,0.549010141368141,OFFLINE,0.3830358223150025,1.4791800626324332,38:24,0.9437664326509922
Jalen Johnson,2024-11-29T00:00:00,CLE,W,Home,0.2881073390483134,0.44778187025396465,0.1683631100195633,OFFLINE,-0.08672509184490611,0.3172863578456277,34:58,0.4918466624833861
Jalen Johnson,2024-11-27T00:00:00,CLE,W,Away,0.5052317105050135,0.44778187025396465,0.1683631100195633,OFFLINE,-0.08672509184490611,0.3172863578456277,34:51,0.4764901654388557
Jalen Johnson,2024-11-25T00:00:00,DAL,L,Home,1.1566048248751135,0.9116196641425335,-0.5929309526775921,OFFLINE,0.3830358223150025,0.3172863578456277,37:00,0.7594884681166286
Jalen Johnson,2024-11-22T00:00:00,CHI,L,Away,0.8309182676900635,1.3754574580311023,-0.2122839213290144,OFFLINE,0.14815536523504821,0.3172863578456277,36:45,0.7265816887354921
Jalen Johnson,2024-11-20T00:00:00,GSW,L,Away,-0.25470358959343664,1.6073763549753868,-0.40260743700330326,OFFLINE,0.14815536523504821,0.8982332102390305,34:59,0.49404044777546174
Jalen Johnson,2024-11-17T00:00:00,POR,L,Away,0.8309182676900635,-0.7118126144674576,-0.40260743700330326,OFFLINE,-0.5564860060048147,-0.26366049454777507,37:13,0.7880076769136137
Jalen Johnson,2024-11-15T00:00:00,WAS,W,Home,0.07098296759161342,1.3754574580311023,0.1683631100195633,OFFLINE,0.14815536523504821,-0.26366049454777507,34:52,0.47868395073093134
Jalen Johnson,2024-11-12T00:00:00,BOS,W,Away,0.07098296759161342,1.1435385610868178,0.7393336570424298,OFFLINE,-0.08672509184490611,0.3172863578456277,38:50,1.0008048502449625
Jalen Johnson,2024-11-09T00:00:00,CHI,L,Home,0.2881073390483134,-0.2479748205788887,-0.2122839213290144,OFFLINE,0.3830358223150025,0.8982332102390305,34:07,0.37996361258752215
Jalen Johnson,2024-11-08T00:00:00,DET,L,Away,0.2881073390483134,0.44778187025396465,-0.9735779840261698,OFFLINE,0.3830358223150025,0.3172863578456277,37:10,0.7814263210373859
Jalen Johnson,2024-11-06T00:00:00,NYK,W,Home,0.6137938962333636,1.8392952519196712,0.1683631100195633,OFFLINE,0.3830358223150025,0.8982332102390305,39:15,1.055649482546856
Jalen Johnson,2024-11-04T00:00:00,BOS,L,Home,0.2881073390483134,0.9116196641425335,-0.40260743700330326,OFFLINE,0.6179162793949569,0.3172863578456277,30:35,-0.08511886933253923
Jalen Johnson,2024-11-03T00:00:00,NOP,W,Away,1.2651670106034636,0.44778187025396465,0.3586866256938522,OFFLINE,-0.08672509184490611,-0.8446073469411779,37:54,0.8779528738887195
Jalen Johnson,2024-11-01T00:00:00,SAC,L,Home,-0.36326577532178667,-0.4798937175231731,0.549010141368141,OFFLINE,0.3830358223150025,0.3172863578456277,36:00,0.6278613505920829
Jalen Johnson,2024-10-30T00:00:00,WAS,L,Away,0.39666952477666345,2.30313304580824,-0.40260743700330326,OFFLINE,0.14815536523504821,-0.26366049454777507,40:20,1.1982455265317808
Jalen Johnson,2024-10-28T00:00:00,WAS,L,Home,1.2651670106034636,1.1435385610868178,0.1683631100195633,OFFLINE,-0.32160554892486043,-0.26366049454777507,38:48,0.9964172796608103
Jalen Johnson,2024-10-27T00:00:00,OKC,L,Away,-1.1232010754202368,0.44778187025396465,-0.783254468351881,OFFLINE,-0.32160554892486043,-0.26366049454777507,29:12,-0.26720304857482724
Jalen Johnson,2024-10-25T00:00:00,CHA,W,Home,-0.14614140386508662,-0.01605592363460425,-0.5929309526775921,OFFLINE,-0.08672509184490611,-0.26366049454777507,41:10,1.3079347911355683
Jalen Johnson,2024-10-23T00:00:00,BKN,W,Home,-0.6889523325068367,0.679700767198249,-0.40260743700330326,OFFLINE,-0.32160554892486043,-0.8446073469411779,36:51,0.7397444004879469
